Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
ermanyuksel,9.0,1,1,probably need psychologist appointment watching movie,make feel simplest reflection kind shocking emotion subject cruel life like probably turn nerve steel story original acting surprisingly realistic movie touched psychologically lately make feel deeply difficult painful human sometimes matter god believe bad thing people exposed punished least expect way never expected see event staged movie wonder sometimes people suffered much hand creator,-0.8258,negative,0.292,0.498,0.209
angelesoviedo,7.0,0,0,haunting past,highly recommend movie made already iconic denis villeneuvewe begin movie sibilings lost mother hearing last wish left letter need find lost brother mother young father never heard aboutvilleneuve always delivers spectacular film important story beautiful cinematography,0.7645,positive,0.1,0.655,0.244
t-d-t-m82,10.0,1,1,middle east hunt family understanding,wow firstly amazing accurate account middle east landscape conflict systematic abuse culture using religion make excuse barbaric behaviourits incrediblysad hope people may experience middle east like hope prey peace return turbulent timesthe cinematography exceptional pace superb acting astounding love introduction character via big bold red textthis movie one reason director could propel lofty position directing new james bond movie incredible talent purveyor film great passion,0.9889,positive,0.065,0.491,0.444
jadepietro,7.0,0,8,imagine doesnt equal,film recommended imagine there country isnt hard nothing kill die religion lyric john lennon imagine religion always unifying emotional force polarizing divisive one others shaped guided world holiest word action also destroyed misled many philosophical guise good godliness provided insight strength one group blinding weakening another overt power devout believer dualism ever present thoughtprovoking oscar nominated foreign film incendies directed denis villeneuve forced examine farreaching effect religion aftereffect tale two sibling begin spiritual journey fulfill mother last wish plot involves twin brother sister forced confront mother past deed secretive life jeanne simon melissa desormeaux maxim gaudette given two letter dead mother newal lubna azabal asked locate brother never knew existed deliver envelope also find lost father request take jeanne middle eastern country try unravel mystery simon look elsewhere told flashback mostly newals point view learn unknown past love jeanne simon unravel thread lifestory discover impact politics religion formed upon mother newals ultimate choice led violent conflicted existence film take bleak depressing subject matter immerses directly world civil war martyr violence religious zealot director villeneuve successfully show clash culture christian muslim consequence hatred pointless bloodshed throughout year however weakens film allowing scene go long causing less tension suspense narrative cumbersome flashback structure also divulges key evidence ongoing investigation movie audience present day character unravel intricacy mystery one figured supposedly shocking climax half hour left film end credit appeared still film contains powerful image mostly dealing film violent nature bus passenger set afire closeup battered bruised leg political prisoner frightened child coldbloodedly shot try flee safety strong performance cast especially lubna azabel sad tortured woman whose death begin tale incendies present world haunting clarity one steeped tradition servitude another trying break free bond serious fearless filmmaking leaf one feeling moved helpless time moviegoer leaf theater hoping world live one even equation never solved grade b,-0.9835,negative,0.208,0.656,0.136
mm-98376-51135,4.0,7,8,audacity christian terrorist muslim victim,really bother grave stone state born died giving script every chance let say young first son actres time let say neverthelessthat mean weve reached twin played yearolds let make even though female twin mention ago talking mother old country mean born conceived brotherfather mind deadly sniper year prior coming pris ever time took remade islamic sniper christian expert tortureso year old super sniperyou get drift herethe ridiculous coincidence end movie whole matter contention,-0.1208,negative,0.133,0.717,0.15
estebangonzalez10,10.0,1,2,incendies modern greek tragedy,death never end story still trace want find brother youll go back mother pastincendies powerful emotional film quebec director dennis villeneuve almost every award canada several international award best foreign film also nominated oscar movie based wajdi mouawads play actually play sort greek tragedy several interesting twist jump back forth time emotional shocking last twenty minute really never guessed direction movie going go next mixed romance drama interesting thrill way never imagined first half hour admit kind bored story thing began intertwine develop totally hooked final payoff really worth long first minute story really well told perhaps enjoyed film cinematography performance cast film solid well structured story allows u gather information little little figure different character end connected story stick long film ended make want go back see everything beginning really enjoyed film shocked endtwins jeanne melissa desormeauxpoulin simon marwan maxim gaudette surprised discover older brother never heard surviving father never seen dead mother leaf task finding delivering letter simon intention following mother wish hears news notary jean lebel remy girard close mother simon claim mother always absent minded may great employee jean mother different story jeanne hand intrigued finding father brother decides travel middle east trace step mother past may reveal several clue mother really jeanne middle east searching brother father flashback mother nawal marwan lubna azabal growing dangerous civil war fight christian muslim sent away village lived falling refugee getting pregnant kill nawals grandmother spare life life son sends live uncle study give son adoption nawal promise baby boy one day come back civil war broke lost contact jeanne begin see one terrible act lead another horror mother lived escalate incendies canadian french production film take place middle east thought actor gave convincing performance let story true star film every scene connected another way another although dont quite understand scene shown end film go back rewatch see missed several hint clue director leaf way final outcome going really wasnt expecting shocking finale like kind thriller convincing twist without trying fool viewer go back watch scene realize everything could made connection long end incendies show u one hateful act lead another make matter worse also show u religious war blind u make u thing wed never million year hard get movie head absolutely recommend powerful emotional thrillerhttpestebuenoblogspotcom,0.9742,positive,0.14,0.646,0.214
TobinTelleran,10.0,1,2,amazingly constructed film everyone,beautiful film direction perfect score poignant edgy time need cast gave performance career cinematography second none shot beautifully done draw time horrific storybut story make film superb character real feel beat dialogue really well thought especially true use dramatic irony use multiple languagesa must watch faint hearted,0.8621,positive,0.133,0.602,0.265
joshilay,9.0,1,2,powerful film miss,watched incendies yesterdaywoah powerful film lovely frame acting script screenplay editing direction stuff powerfulit left state thought since watched itthe female protagonist played lubna azabal given strong performance strength character shown throughout done absolute justice person would deal situation lifemlissa dsormeauxpoulin also play role script emotion natural pull u story maxim gaudette enough warrant good performance certificateall character played well lot research seems gone development script based play wajdi mouawad cowriter director denis direction denis villeneuve awesome movingthe film stay mind day togetherafter reading review see film expectation see free mindyou captivated doubt patience store,0.9899,positive,0.02,0.629,0.351
palavitsinis,10.0,1,2,word seem useless,rate movie usually really really difficult find word describe one one impactful movie ever seen cant stop thinking since yesterday sure wont stop thinking long timefirst actor brilliant story breathtaking slow evolution movie leading climax end render speechless motionless say least admit although assumed ending think plausible movie leaf element time kind confused could make exact age lady sings stage movie kind like math end make sure mistakenoverall terrible story core one show life extreme people rise horrible event like war crime show kind attitude woman showed letter movie one miss,0.7791,positive,0.181,0.576,0.243
dragokin,8.0,1,2,amazing movie,incendies another movie accidentally discover make enjoyment even greater topic cover far pleasant thoughwe follow twin brother sister solve mystery surrounding mother death search answer travel middle east mother homeland starting life anew west mother lived environment ravaged civil warthe twin discover mother see one stay unharmed war,0.0,neutral,0.163,0.657,0.179
Thanos_Alfie,7.0,0,1,search everything,incendies mystery movie watch twin lost mother testament mother wish next time watch twin traveling middle east discover mother want family history fulfill mother last wishesi liked movie found interesting plot many swift something made movie even interesting also liked movie interpretation mlissa dsormeauxpoulin played jeanne marwan good another interpretation liked movie maxim gaudettes played simon marwan lubna azabals played nawal marwanfinally admit expect like movie mistaken incendies great movie watch strongly recommend lesson life fight also combine well mystery drama family course war something make movie even better,0.9865,positive,0.089,0.512,0.399
ixltoo,4.0,21,39,disappointing considering genie,expecting lot especially award film received curiously zoning middle act movie wandered desert literallyand feel engaged character allthere seems sort yingyang morality tale going judging ending lacked real emotional punch felt manipulated story extreme situation maybe hard suspend disbelief given source material im sure could done muchhaving rewatched hurt locker night saw film found cinematography lack clarity point view kathryn bigelows film im surprised film genie award editing cinematography must slow year canadian cinemai found villeneuve sliding gu van sant territory deliberately infuriating shot setup meant imply something greater whats screen,0.7083,positive,0.135,0.677,0.187
ell1981,9.0,1,2,whose army,film begin mercurial radiohead us music throughout going something lot good excellent performance poulin stunningly shot landscape film go back forth time enough confuse though may little subtle viewer plot disturbing ultimately shocking manages portray subtle way mean foot given subjecta real surprise thrill watch never failed mesmerize shock time well paced never strayed powerful message conveyed one best foreign film seen surprisingly gain credit deserved,0.9604,positive,0.111,0.555,0.333
1os4,9.0,1,2,,wow movie considered best movie director bit bored middle movie end made everything end considered one best ending world cinema,0.9022,positive,0.069,0.528,0.403
evanston_dad,8.0,1,2,geesh feel bad movie,denis villeneuve film lebanon civil war impact one family extremely well made time gripping good grief feel bad movie isi guess there little good come event movie border misery porn much running time like many movie made feel completely ignorant recent past didnt know much anything civil war lebanon confused quite bit movie fair high school ended wasnt paying much attention country like lebanon like got lot world news american case gather war much war one group people think another group people dont right exist want wipe outtheres twist near end movie thats like something southern gothic play novel didnt see coming allnominated academy award best foreign language filmgrade,-0.1921,negative,0.21,0.572,0.218
artfilmfan,10.0,1,2,excellent,excellent gorgeously shot perfectly acted movie sadbut also reality prefer realism anyway still favorite villeneuve movie one favorite decade general pure cinema poetry kind cinema care deeply lubna azabal mlissa dsormeauxpoulin maxim gaudette stellar believable make care character story andr turpin amazing cinematography deserves special mention shot burning bus lubna front spectacular brings back also fond memory middle east strike personally future classic cinema,0.9881,positive,0.017,0.578,0.405
RM851222,9.0,1,2,powerful story,greeting lithuaniaincendies strength lie powerful hardly forgettable story end left speechless literally movie also wonderfully crafted cinematography amazing nominated oscar category acting good especially lead played nawal marwan directing solid famous denis villeneuve great guide first kinda tough story many name place movie matter tell end definitely wont even hint sure coincidence one million movie powerful oneoverall incendies highly recommended drama mystery war solid movie craftsmanship biggest strength story hardly forgettable one,0.9849,positive,0.069,0.529,0.402
MohammedFakhry,8.0,1,2,great story bad production,fine story love war unfortunate circumstance great potential great movie although story story civil war lebanon yet country ever mentioned film filmed jordan jordanian actor location wich arab irritating notion given story war took place jordan something never happened first thought black september confused started searching lebanon much developed come movie cinema puzzled kept asking producer chose jordan country story country sophisticated film industry believe reading novel shouldve goto choice movie,-0.1531,negative,0.217,0.581,0.201
kseshynskaja,7.0,0,1,beautiful powerful casting distracting,incendies powerful film story heartbreaking visuals stunning atmosphere pull completely acting great across board emotional weight realbut casting throw thing nawal look older later scene twin look younger abu tarek somewhere screen seem close age big final twist doesnt hit hard instead feeling like gut punch leaf bit confused,0.8546,positive,0.086,0.645,0.269
qui_j,2.0,13,21,slow slow slow,really wanted like film slow moving terrible acting poorly produced way could common many french based film long period silence deep intense staring fellow actor lot shouting intended pas good acting cannot believe high rating got wish inject dose much needed realism pretty horrible worth effort watch,0.7334,positive,0.109,0.646,0.245
rtneu,8.0,3,8,intriguing movie move completely,movie move completelyit intriguing movie got glued till end every scene movie important linkage happened earlier happen later course movie movie depicts background palestine time war broke linked many character movie one womanit first movie denis villeneuve seen made sure would research see worklubna azabal totally character play doesnt verbose dailogues yet fantastic facial expression emotion speak volume go different phase life mlissa dsormeauxpoulin maxim gaudette also justice role sense perspective mother change respect towards grows come closer closer happened mother great movie watch however movie mass audience like intellectual movie strong serious storyline definitely go give,0.9744,positive,0.065,0.671,0.265
mefisto37,9.0,1,3,film,absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film absolutely amazing self favor watch film,0.9985,positive,0.0,0.362,0.638
shaanmr,8.0,1,3,powerful heartwrenching tale war family identity,denis villeneuves incendies deeply moving emotionally charged film explores complex layer family identity impact war based wajdi mouawads play story follows twin jeanne simon uncover dark painful history mother nawal lubna azabal death journey take middle east discover shocking truth family past intertwined horror civil war personal sacrificevilleneuve masterfully weave together past present creating narrative gripping emotionally devastating film exploration identity forgiveness cycle violence profound thoughtprovoking performance outstanding particularly lubna azabal brings depth vulnerability role nawalincendies intense unforgettable cinematic experience poignant theme loss redemption pursuit truth film powerful conclusion one emotionally impactful moment recent cinema leaving viewer reflecting long credit roll,-0.9409,negative,0.256,0.573,0.171
eklavya-cwk,8.0,1,3,fierce vibrantenthralling tearingsoft tender,absolute unexpected version screenplay incendies one shocking movie show unthinkable unexplored area existence specially someone tangled surrounded hectic killing religious cultural behavioral moribund idea encapsulating freedom bird fly prison find remembers past love hatred painsacting alright location shooting great screenplay totally new also encompassed bit weak link yet perfection virtual reality movie special final message love cant destroy hatred love dissolve hatred therefore love mean dissolve past present future,0.8873,positive,0.227,0.455,0.318
philipposathina,10.0,1,3,great masterpiece contemporary cinema,lot thing want rather need tell film im afraid word really match perfection deepest emotional shock caused biggest must anyone ever suggested dont miss absolutely hard raw time extremely tender humanistic film probably leave devastatedbut also make better person pls trust need know detail thats dont see point analyzing youll like either way even youre absolutely heartless still captured story shocking yet unfortunately much part real world scene heart youll touched deeply hard heartbreakingyet melodramatic truth take day overcome wouldnt genial masterpiece talking much inspired oedipus great greek tragedy copying,0.6735,positive,0.183,0.564,0.253
alimekuyucu,9.0,1,4,excellent,x cinema masterpiece cinema different view manifestation allah lord today sometimes wisdom sometimes example sometimes reflect different point view arouse hatred strongly influence person negative positive direction fact eye know see event allah made obvious past past eternal world really good opportunity get know know allah arifins job able see wisdom every movie fact even seems unnecessary many lesson learned kind movie novel cinema like book read life story person person watching mirror white screen feel laughing cry someone else every era man enjoyed different movie according science creation era cinema easily convey person truth mistake truth eye make beauty rose obvious able see rose happy reach level understanding spiritual meaning movie light window star come sliding sky fire word say story contains quite lot surprise matter meaning attach cinema powerful film cannot remain indifferent villeneuve created realistic impressive set captured camera deploying audience like marwans twin replacing answered question bigger one also managed provide curious viewing go finale example pure cinema powerful script worry mixing feeling hate love feeding waste single moment minute duration fire modest budget incredible film us visualizing effect cinema fullest convincing detailed visual work sequence panzer tank going conflict house burned militiaman shooting bus full people marwan pretending mother save little girl watching movie came canada shook audience side impossible question six empty word turkish cinema improved lot recent year dear immediately watching fire film mentioned perceived talentless picture drawn kindergarten student benefit teacher fire actually biased movie matter much seems side like telling suffering experienced event started escalated christian muslim imaginary arab country reason always likened lebanon clear film take side muslim despite main character marwan christian dec state taking side explained ability human nature without caricaturing event living filled regret every moment director wanted disrupt traditional understanding bill everything issued muslim time cinema increasingly commercialized turned amusement park entertainment possible come across film time fire love came across oasis desert movie fit exactly description huge fist throat watching end roll eye peace completely free,0.9969,positive,0.115,0.596,0.289
domenicdd2000,9.0,1,4,absolutely fantastic,keep short give anything awaythe movie fantastic one film lead conversation discussion afterwards really mark great moviethe movie flow beautifully different era although somewhat confusing first time flashback pay close attentionshowing enough surrounding conflict pull without disaster occurring around storylinesometimes less know meanwell done would highly recommend moviepersonally movie even better slum dog millionaire subtitle easy read dont speak french,0.965,positive,0.067,0.634,0.299
watched-it-again,10.0,1,4,thank thank thank,film seems like draw beautiful frame pretty film good cast watching find production cost worth story think like retrospect least showing little take please u moving watching public could film made u true story unforgiving every way state movie see result test screening dumbed plot studio looking maximum profit hail american corporation machine film easy movie watch first whole thing subtitle even doesnt pull punch like said everyone get everyone give chance people wont even exposed say want say american connected ive arabic movie new generation film world terrorist wmd honest character epic performance always heard atrocity region portrayal ive seen seems stop stereo typical arab cnnfox movie go beyond set production great costume angle photography brilliant many little extra make great movie top story person could understand appalling beautiful time hope hasnt created feeling like watch insert comic book movie real emotional tough movie comprehend amazing,0.9933,positive,0.083,0.573,0.343
vcuty,9.0,1,5,excellent excellent film,thumb excellent yes iswell made drama depicting ethnic struggleswar middle east christian otherkilling religion daring film show side killing usually drama show fundamentalist killing non believersbut find christian killing non christian religion factor really daring though doubt really happened middle east film say show clearly sign door film flash back event took place somewhere palestine dont recall truly happened past maybe lebanon refers speak french time dont know acting superbwhat saylubnas acting made amazed performance role complicated emotional building though film atmospherethe gloomy surrounding specially quibec part film extra gloomyreally complemented whole thing plotamazing new u predict endthe photographythe directinga class bus shooting scene oh godhow strong meaning behind hit face leaving u stunned msg brutality kill thinking please religion god killing race religion color goof film daughter mother traveled back middle east look brotherand speaks french palestine pple usually talk french fluent allthis weak link didnt affect film film attendee commented director put chapter name bold big font red color middle screen think symbolic go along whole idea film blood struggle even prison rape scene done way really classy respectable viewer emotion yet moving maybe powerful saw whole thing state art film aspectsi hope win coming oscar best luck whole crew two thumb,0.1535,positive,0.177,0.63,0.194
christian94,9.0,1,5,buy bluray thank another day,received rave review familiar quality denis villeneuves work especially polytechnique rarely bought without seen previously disappointed leastwar death story start strong bring voyage space time thought emotion along character writing directing editing cinematography outstanding acting rather natural gut many scene feel real personal time may feel dirty urinal feel good movie hard movie deserves seen beautifully explores ugliness war show intolerance hate bigotry passed generation cultural conditioning hindering quality life depriving true respect dignity dim human condition true everywhere even canada quality life physical security cultural openness arguably among best worldthe story backdrop balance reality peace education prosperity plunge u chaos rejection violence fear family feud search redemption truth see nondescript arab country christian minority imprint people reminded recent ongoing similar situation middle east africa also europe asia distant past yugoslavia cambodia etc discrimination child army murder massacresetc best humankind offer seemsthis story go dark deep dangerously borderline depressing yet unflinching conviction telling tale finding truth may actually liberate may allow u get straight perhaps finally get rightthere many symbol silent unsaid commentary movie narrative also speak volume many way reflection real relevant live leave better future child brake destructive devastating cycle war hateas movie enough also privy ana barbeaulavalettes stunning makingof documentary se souvenir de cendres regard sur incendies httpwwwimdbcomtitlett take life revealing interviewscrisp cinematography eloquent editing poetic vision spellbinding storytelling easily best makingof documentary ever seenfor reason go buy sell weapon,-0.1891,negative,0.208,0.576,0.215
johnnyboyz,7.0,0,4,title translates french english scorched near redhot drama making difficulty taking subject matter look easy,opening scene incendies paint image cantankerous elderly woman even death forcing child run around goose chase series eccentric entry nothing pose question cause action closure thing thats desired difficult time feel sorry kid canada residing brother elder sister feel little bitter towards recently deceased mother witness duel pilgrimage across eurasian border startling word humbling dont really sort justice requiresthe family bother unfolding marwans sibling jeanne dsormeauxpoulin simon gaudette present day lubna azabals nawal way back needless say id rather modernday set bother strife sibling nawals jeanne simon sit silently solicitor office odd air grief frustration abound request documented nawal read request broadly encompassing apparent need two journey great distance find specific someone reveal jeanne one take plunge venture away nicety first world economically developed living quarter asia meet europe solicitor office jeanne chirp ahead simon asked problem inconvenience presented yes labelling person sort initially put foot forward established simon begin enquire green light instigateda math teacher good problem solving equation seemingly impenetrable jeanne head place ambiguous actual identity people appear entrust broadly representative lebanon spite fact palestinian flag briefly identifiable corner frame one fleeting instance journey take look say longlost father well another brother neither simon ever knew unfolded crisp tandem tale mother thirtyodd year ago nawals hardship born persistent rejection peer religious circle family member lead exploring freespirited characteristic embedded within dangerous line throughout attempt look son born wedlock certain individual certain ilk many within nawals initial circle take issuethe parallel either journey mother daughter undertake similar structure scale fairly clear quest taking either woman around house bombed orphanage grotty prison one sequence sort grotesque centrepiece content quietly beautiful harsh thoroughly professional depiction absolutely terrifying sequence depicts bus full muslim ambushed christian group militant civil war broken undetermined nation sequence remarkable stark nature anyway additionally isnt necessarily emotional crux film scene made impacting given happening within recent year film production nation pakistan angola attack relayed onto sporting personnel whose tale graced news report bus come fire life lost additionally sort brutality aimed within well subvert idea anonymous muslim aggressor shrouded mystery come complete towel around face attacking innocent child reversing religious background well respective role victimised perpetrator christian soldier go rampage thus destroying small often easily demonised muslim congregation regardless individual sequence affecting quality denis villeneuves film real sucker punch emotion biting selfdiscovery certain stage crept really ambitious worthwhile piece,-0.9904,negative,0.195,0.69,0.115
berestov,7.0,0,2,,villeneuve one best visionary master script selection year ago picture raised level talented directorsyou course get bottom logic film ask didnt open letter right away magic cinema collapse interesting watch say person watched film time row wanted toin fact described drawback film otherwise advantagesthis highquality work touch theme war explores intertwining human destiniesit interesting observe mother story child search relative drama people killed burned tortured child wandering around finally adding one thing anotherthe finale homage understand everything together kid sit eye bulging,0.0258,neutral,0.145,0.699,0.156
narim-kim,10.0,0,1,first review seeing film year ago,definitely aged well first screening several year ago thought canada give world another master director impression changed ever since became one highest paid director hollywoodthis movie immediately made personal top list right saw remarkable everchanging top ten list still movie although merely nobody movie passing test time despite movie denis made recently big budget hollywood studio still rank film besti guess review testament sentiment toward movie,0.8979,positive,0.0,0.812,0.188
griffithxjohnson,8.0,0,3,powerful mystery,incredible screenplay show dark heavy story captivating pacing narrative choice tough subject matter powerful message many layer complexity offer lot value rewatching incredible screenplay show dark heavy story captivating pacing narrative choice tough subject matter powerful message many layer complexity offer lot value rewatching incredible screenplay show dark heavy story captivating pacing narrative choice tough subject matter powerful message many layer complexity offer lot value rewatching,0.9081,positive,0.058,0.698,0.244
joseph-marzbani,7.0,0,3,vanilla narrative style good one,whole responsibility movie shoulder story think movie bad probably story looked bad liked movie liked story regard director shouldnt tough job good story needed stay loyal story vanilla greek tragedy didnt strong message grandma would love though however cant deny fact component clicked story developes smoothly logically,-0.2964,negative,0.24,0.523,0.237
the-fearless-america,7.0,0,1,flowing slowpaced devastating great panoramic setpieces,incendies movie tear viewer apart story untold slowly surelydevastating every time truth revealed original writing great panoramic screenplay thats raise movie director great job choose setplace precise positioning camera shot skill viewer discovers true beauty place middleeast set placed beside hard life current country crysis brings u perspective country swallowed calamityusing slowpaced screenplay director let viewer enjoy panorama also giving time truly feel current condition country slowpaced panoramic camera work good combination giving many advantage viewer besides viewer also give actorsactresses develop character giving duration reveal trait role although storyline script average level yet cinematography still movie beautifulfor viewer maybe movie hard enjoy especially generation movie need calm condition enjoy wisher complex tense dramamysterygenre good movie made,0.9918,positive,0.035,0.638,0.327
srgymrat33,9.0,0,1,fantastic,watch list year one reason another always passed sure wish watched year ago great powerful film love forgiveness war grief understanding healing start finish drawn character development incredible every actor better next twin amazing job role great character narwal also casted well even notary fantastic development lebanon well done aesthetically breathtaking culturally felt like knew place scene chosen way war explained great film great story telling important film many theme tie much face world today absolutely worth time film fly watch high quality,0.9909,positive,0.086,0.486,0.427
darsh_tito,9.0,0,0,end,end bese ending close ever seen didnt care foreign movie movie made day make watch foreign movie wasted,-0.703,negative,0.267,0.733,0.0
Coralknight,8.0,0,1,unforgettable horror story,loosely based event occurred lebanese civil war although actual country never named incendies take viewer emotional personal ride spanning decade showing action event instant affect generation people future likely unaware film brings home horror war dynamic family give insight arab culturemuch unknown west viewpoint event concerning sectarian violence onesided inaccurate hence exactly name taking place lebanon overlook undoubtedly rewarded gutwrenching yet masterfully powerful film,-0.8481,negative,0.211,0.666,0.123
neigenoirejz,9.0,0,1,amazing movie,mesmerizing beautifully crafted movie creates almost tangible emotional attachment captivating realistic becomes emotionally exhausting certain point throughout movie gripping seat disbelief bewilderment shocking event happen screen youll huge explosion amazing action sequence movie make genuinely care character fate although everything film quite well done acting cinematography music cleverly crafted plot way delivered take cake really dont want reveal detail though suffice say amazing work art leave anything indifferent,0.965,positive,0.106,0.567,0.327
buzz75,3.0,11,20,unbelievably superficial,watched something utterly superficial falsely intellectual age really one demanding type go along well moronic attempt jolies film war bosnia masterpiece set inexistent land political situation circumstance resembling lebanon resemblance real life stop follows chain unrealistic senseless occurrence aim shock viewer actually going bad worse minute pathetic attempt elucidate sense human suffering get insight destructive force within portray society spiral violence bad stupid boring hollywood anything seen lately,-0.9877,negative,0.427,0.481,0.092
jaysanchu07,8.0,0,1,floored speechless seeing incendies,coming promised amazing wife entertaining time movie considering widespread acclaim denis villeneuves incendies course found apologizing credit rolled movie absolutely floored u denis impeccable talent storyteller incendies devastating theme conveyed surgical way ushering captivating watch come steeped unthinkable horrorsyes denis stamp adaptation cannot denied narrates journey jeanne simon precision unearthing mother nawals buried past powerful mean nonlinear telling pay dividend intercuts sibling discovery nawals traumatizing past keep audience suspense deepens emotional impact devastating revelation processed tandem protagonistscoming peformances lubna azabal carry incendies restrained force nawal conveys woman broken every sense word yet able withstand silent strength resilience communicates trauma fierceness little dialogue demanding audience empathy mlissa dsormeauxpoulin hand evokes quiet determination jeanne conveying emotional depth picture presentday storylinethere clear reason denis gained prominence knockout movie perhaps gripe incendies suffocating depressing revelation right end feel aspect tread towards unnecessary melodrama rendering incendies tragedy quite challenge see second time around nevertheless bold powerful unforgettable piece cinema,0.9038,positive,0.146,0.632,0.222
Hayud_Farah,9.0,0,0,masterpiece tragedy emotion,incendies stunning brutal impactful film masterfully combine element greek tragedy history anthropology religion tell intense story love pain hatred suffering forgiveness leaving lasting impression long credit roll deeply affecting narrative stay viewer provokes reflection humanity resilience cost secret,-0.8658,negative,0.345,0.419,0.237
AmrBS007,8.0,0,0,message delivered,thought suffering unlucky time place grew shaped today truth matter born suffering severity origin origin suffering matter call connects u,-0.7783,negative,0.347,0.485,0.168
Money4Nothing,2.0,10,19,sequel something,feel like movie aimed mostly towards people already knowledge political situation middle east watching minute utterly confused everything realized dont know country couldnt remember anyones name idea whats going turned,-0.024,neutral,0.078,0.846,0.076
h-talebiyan,8.0,0,0,incendies impactful,denis villeneuves incendies struck film commanding craftassured direction striking composition tightly wound narrative never loses control lubna azabal give magnetic performance anchoring story unfolds like ferocious family mystery across era wartorn landscape layer layer reveals brutal truth quiet restraint culminating cathartic finale reminiscent greek tragedy image linger focus religion birthright cycle violence give film disturbing urgency suggesting bearing witness act compassion yet also found story implausible stacked contrivance edge punishment manipulation tragedy ladled effect work better stylized poetic meditation believable drama even impact undeniable,-0.9548,negative,0.26,0.626,0.113
jorgecontreras-08245,10.0,0,1,recomendado,though sometimes seems though information given u slightly early often lead decent dramatic irony distract thereby make impactful flick big blindsiding final reveal essentially shocking sickening harrowing revelation audience picture principle character massive repercussion serf recontextualise everything came significant yet suitably subtle way mostly making slightly slow pace occasional meandering marred piece youve settled strange pace presentation incendies youre treated increasingly dark exploration woman know dead still strong presence character child slowly learn life alongside u inch ever closer ending haunt memory day tragedy greek proportion set backdrop tragedy meet standard new revelation ratchet suspense plumets u increasingly dire territory unexpectedly grim realism begin perforate entire piece steeping often unspoken sadness thick air mystery get skin pull deeper never letting go last frame finally let slump back seat release emotion one gutwrenched gasp everescalating devestation expectation isnt darkness darkness sake rather exploration character within situation also rare film rest upon withholding information would seem fairly simple yet legitimate narrative reason providing intelligent usually expositionlight way tragedy exists reason indeed tragedy blindsiding unflinching tragedy film know show aid making moment impactful making feel like child poorlytreated mysterious mother learn past youll often find asking thing get worse trust brilliant,-0.9849,negative,0.215,0.684,0.101
Maximilien_Kozodoi,2.0,7,13,comedy gold,incendies extremely boring stupid movie show canadian really love import middle eastern criminalsthe plot complete mess dragging endless pointless drama ridiculous twiststhe character make absurd choice movie take far seriously youre looking unintentional comedy disguised serious movie watching paint dry would thrilling experienceoverrated pretentious film true test patience avoid cost unless need cure insomnia enjoy wasting time nonsense,-0.5965,negative,0.289,0.518,0.194
postsenthil,9.0,0,0,must watch,religion world overtly profess language love offer path salvation uncommon find teaching hijacked fanatic zealot spew hatred incite teeming follower name god commit ungodly act many war waged score precious life lost maimed scarred name religion preach blind hatred others story society particular family bear brunt civil war spawn mindless religious hatredjeanne simon twin sibling canada taken surprise reticent mother dy leaving strange requires deliver two letter mother jeanne deliver letter father thought died long ago simon deliver another letter brother unaware simon clearly reluctant considers demand unreasonable totally irrational request mother believed demented jeanne however set journey discover mother past find father brotherjeannes journey interwoven parallel narrative arc depicts story mother nawal youth unnamed middle east nation probably lebanon simmering tension muslim ruling christian populace nawal christian fall love muslim refugee camp discovers pregnant try flee lover however nawals brother confront kill lover name family honour nawals grandmother save brother wrath bringing dishonour religion clan nawals grandmother help keep pregnancy secret promise assist nawal baby condition nawal would send orphanage upon delivery leave distant city study nawal fulfills condition leaf village pursue higher study university even newborn tattooed grandmother handed orphanage university nawal activist study threat civil war loom large forsakes study look son take safety onset full blown war rest movie oscillates two parallel narrative past present separated time decade nawal quest son jeannes quest unravel mother past nawals search lost son take ever deeper heart unfolding dark civil war life tossed around belligerent force like helpless vessel terrible storm jeannes search hand reveals mother troubled past trauma undergo left strifetorn native canada two intertwining strand culminate exceptional shocking intense revelation finale playing reticent yet resilient psychologically complex character nawal lubna hazabal nawal provides stand performance compelling even intense silence rest cast consisting melissa desormeauxpoulin playing jeanne maxim gaudette playing reluctant simon well rmy girard playing notary matre lebel nawals former employer holder guide twin quest provide competent performancescanadian director dennis villeneuve helm multilayered movie adapted popular play wajdi mouawad known poetic flourish assurance masterly auteur potent visuals sharp writing deliberate pace keep viewer glued every detail villeneuves brilliance manifest manner crafted ambitious nonlinear narrative transcends multiple genre drama road movie thriller antiwar movieoverall stirring movie exceptional ode triumph kinship togetherness love trump seemingly invincible force hatred nominated best foreign language movie rd academy award also received acclaim several international film festival,0.8836,positive,0.174,0.625,0.201
